epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,12,,,,,,,0.1591820865869522,0.3104628324508667,0.025711549445986748
,0.001,13,,,,,,,,,
1,,25,,,,,,,0.14371170103549957,0.29068541526794434,0.022168055176734924
,0.001,26,,,,,,,,,
2,,38,,,,,,,0.1351020187139511,0.2719475328922272,0.01973329856991768
,0.001,39,,,,,,,,,
3,,49,,,,0.1340247243642807,0.27126896381378174,0.019329166039824486,,,
3,,51,,,,,,,0.12726382911205292,0.2567252218723297,0.017761724069714546
,0.001,52,,,,,,,,,
4,,64,,,,,,,0.138308584690094,0.25873586535453796,0.019828828051686287
,0.001,65,,,,,,,,,
5,,77,,,,,,,0.15412189066410065,0.27185705304145813,0.02341596595942974
,0.001,78,,,,,,,,,
6,,90,,,,,,,0.14012718200683594,0.2592312693595886,0.020405881106853485
,0.001,91,,,,,,,,,
7,,99,,,,0.11231782287359238,0.23139920830726624,0.01347099244594574,,,
7,,103,,,,,,,0.16845351457595825,0.2914339601993561,0.027320001274347305
,0.001,104,,,,,,,,,
8,,116,,,,,,,0.16653338074684143,0.2895101010799408,0.02696503885090351
,0.001,117,,,,,,,,,
9,,129,,,,,,,0.1385444551706314,0.25719746947288513,0.019677700474858284
,0.0005,130,,,,,,,,,
10,,142,,,,,,,0.12207676470279694,0.24686841666698456,0.016532031819224358
,0.0005,143,,,,,,,,,
11,,149,,,,0.10565398633480072,0.22816459834575653,0.012933878228068352,,,
11,,155,,,,,,,0.1321285367012024,0.26042354106903076,0.019734835252165794
,0.0005,156,,,,,,,,,
12,,168,,,,,,,0.12941816449165344,0.2587871849536896,0.01804910972714424
,0.0005,169,,,,,,,,,
13,,181,,,,,,,0.13783247768878937,0.2713756859302521,0.021368835121393204
,0.0005,182,,,,,,,,,
14,,194,,,,,,,0.13277068734169006,0.2610200047492981,0.018507219851017
,0.0005,195,,,,,,,,,
15,,199,,,,0.13889336585998535,0.2637876272201538,0.02206043340265751,,,
15,,207,,,,,,,0.13130086660385132,0.2626968026161194,0.020069492980837822
,0.0005,208,,,,,,,,,
16,,220,,,,,,,0.12986250221729279,0.2577749788761139,0.019040288403630257
,0.00025,221,,,,,,,,,
17,,233,,,,,,,0.1260431706905365,0.25358566641807556,0.018531905487179756
,0.00025,234,,,,,,,,,
18,,246,,,,,,,0.1261279135942459,0.2531212568283081,0.018495090305805206
,0.00025,247,,,,,,,,,
19,,249,,,,0.09441860765218735,0.19365158677101135,0.00962798297405243,,,
19,,259,,,,,,,0.12851233780384064,0.25426140427589417,0.017968129366636276
,0.00025,260,,,,,,,,,
20,,272,,,,,,,0.12629257142543793,0.2529757618904114,0.018489249050617218
21,,273,0.11203490942716599,0.22866182029247284,0.015181626193225384,,,,,,
