epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.961053192615509,0.773814857006073,0.5444221496582031
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.904812216758728,0.7148979902267456,0.47956180572509766
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.8461264371871948,0.6544602513313293,0.41668352484703064
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.7825772166252136,0.5903271436691284,0.35401245951652527
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.7116357684135437,0.5213536620140076,0.290623277425766
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.6319652795791626,0.45040592551231384,0.22759835422039032
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.5429146885871887,0.383493572473526,0.16712768375873566
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.4461129307746887,0.32889994978904724,0.11459343135356903
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.35492512583732605,0.31229496002197266,0.07964924722909927
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.298166424036026,0.3521880805492401,0.07119640707969666
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.28474780917167664,0.39558300375938416,0.07760249823331833
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.27672916650772095,0.3891294300556183,0.07596144825220108
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.26438045501708984,0.36740392446517944,0.06892934441566467
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.26144230365753174,0.3634214997291565,0.06574945896863937
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.26327309012413025,0.3669441044330597,0.06585319340229034
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.2628597319126129,0.3683333396911621,0.0659070685505867
,0.001,48,,,,,,,,,
16,,49,,,,0.21172867715358734,0.2847963869571686,0.04140998795628548,,,
16,,50,,,,,,,0.258409708738327,0.36515066027641296,0.06465540826320648
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.2501422166824341,0.3568781018257141,0.06177617236971855
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.2402816116809845,0.346215158700943,0.05835980549454689
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.23309637606143951,0.3394146263599396,0.05625505372881889
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.22913861274719238,0.33675190806388855,0.05546550825238228
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.2270813286304474,0.336361825466156,0.055305082350969315
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.22622601687908173,0.3366449177265167,0.05519803613424301
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.22741496562957764,0.3378106653690338,0.05542248114943504
,0.001,72,,,,,,,,,
24,,74,,,,,,,0.23043978214263916,0.3389551639556885,0.055793799459934235
,0.001,75,,,,,,,,,
25,,77,,,,,,,0.23416580259799957,0.3400286138057709,0.0563168041408062
,0.001,78,,,,,,,,,
26,,80,,,,,,,0.2368018925189972,0.3411976397037506,0.056880611926317215
,0.001,81,,,,,,,,,
27,,83,,,,,,,0.23780126869678497,0.3419230878353119,0.057159606367349625
,0.001,84,,,,,,,,,
28,,86,,,,,,,0.23741021752357483,0.34168097376823425,0.057093553245067596
,0.0005,87,,,,,,,,,
29,,89,,,,,,,0.23707744479179382,0.3411464989185333,0.05691450834274292
,0.0005,90,,,,,,,,,
30,,92,,,,,,,0.2366112470626831,0.34014925360679626,0.05662526562809944
,0.0005,93,,,,,,,,,
31,,95,,,,,,,0.23531284928321838,0.33861085772514343,0.05615751072764397
,0.0005,96,,,,,,,,,
32,,98,,,,,,,0.23426492512226105,0.33751264214515686,0.055787067860364914
33,,99,0.1615438610315323,0.2158408761024475,0.024449991062283516,,,,,,
