epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,12,,,,,,,0.4228973984718323,0.3735339045524597,0.08602867275476456
,0.001,13,,,,,,,,,
1,,25,,,,,,,0.2309456765651703,0.3343593180179596,0.03973419964313507
,0.001,26,,,,,,,,,
2,,38,,,,,,,0.246646910905838,0.33609282970428467,0.04137837514281273
,0.001,39,,,,,,,,,
3,,49,,,,0.21549110114574432,0.37042373418807983,0.03813685104250908,,,
3,,51,,,,,,,0.2257375866174698,0.32958871126174927,0.036986760795116425
,0.001,52,,,,,,,,,
4,,64,,,,,,,0.2177228033542633,0.3297158181667328,0.036310311406850815
,0.001,65,,,,,,,,,
5,,77,,,,,,,0.22524304687976837,0.33101385831832886,0.03705951198935509
,0.001,78,,,,,,,,,
6,,90,,,,,,,0.2198370099067688,0.32798904180526733,0.03628581389784813
,0.001,91,,,,,,,,,
7,,99,,,,0.21835920214653015,0.37433332204818726,0.03983799368143082,,,
7,,103,,,,,,,0.21887511014938354,0.32707643508911133,0.03594812750816345
,0.001,104,,,,,,,,,
8,,116,,,,,,,0.21558764576911926,0.32392457127571106,0.035211410373449326
,0.001,117,,,,,,,,,
9,,129,,,,,,,0.2115601897239685,0.32080239057540894,0.03461909294128418
,0.001,130,,,,,,,,,
10,,142,,,,,,,0.2093881517648697,0.3191247582435608,0.03401602432131767
,0.001,143,,,,,,,,,
11,,149,,,,0.21475748717784882,0.3627437353134155,0.03743716701865196,,,
11,,155,,,,,,,0.20507663488388062,0.3155701458454132,0.03329341486096382
,0.001,156,,,,,,,,,
12,,168,,,,,,,0.20548665523529053,0.31191951036453247,0.03278432786464691
,0.001,169,,,,,,,,,
13,,181,,,,,,,0.20888563990592957,0.31004297733306885,0.03301956504583359
,0.001,182,,,,,,,,,
14,,194,,,,,,,0.20930860936641693,0.3123827576637268,0.033664822578430176
,0.001,195,,,,,,,,,
15,,199,,,,0.21708714962005615,0.3433871865272522,0.037008754909038544,,,
15,,207,,,,,,,0.23354928195476532,0.31095558404922485,0.03668379411101341
,0.001,208,,,,,,,,,
16,,220,,,,,,,0.22428353130817413,0.3136846423149109,0.03614029288291931
,0.001,221,,,,,,,,,
17,,233,,,,,,,0.2774425745010376,0.34009724855422974,0.04836900532245636
,0.001,234,,,,,,,,,
18,,246,,,,,,,0.23503108322620392,0.32834112644195557,0.03903483226895332
,0.0005,247,,,,,,,,,
19,,249,,,,0.1486228108406067,0.24076902866363525,0.018412701785564423,,,
19,,259,,,,,,,0.20285935699939728,0.3089980483055115,0.032687850296497345
,0.0005,260,,,,,,,,,
20,,272,,,,,,,0.20233765244483948,0.31152695417404175,0.033019792288541794
,0.0005,273,,,,,,,,,
21,,285,,,,,,,0.20288224518299103,0.3106812834739685,0.03315097466111183
,0.0005,286,,,,,,,,,
22,,298,,,,,,,0.20584352314472198,0.31591886281967163,0.03454282507300377
,0.0005,299,,,,,,,,,
23,,299,,,,0.17701034247875214,0.2835385501384735,0.02508602663874626,,,
23,,311,,,,,,,0.20803439617156982,0.31580156087875366,0.035034891217947006
,0.0005,312,,,,,,,,,
24,,324,,,,,,,0.20602938532829285,0.31459030508995056,0.034681886434555054
,0.0005,325,,,,,,,,,
25,,337,,,,,,,0.21167150139808655,0.3235432207584381,0.03678759187459946
,0.00025,338,,,,,,,,,
26,,349,,,,0.17086772620677948,0.28670719265937805,0.02382643148303032,,,
26,,350,,,,,,,0.20902323722839355,0.31921282410621643,0.035623759031295776
,0.00025,351,,,,,,,,,
27,,363,,,,,,,0.20496468245983124,0.31221917271614075,0.03457842767238617
,0.00025,364,,,,,,,,,
28,,376,,,,,,,0.20750829577445984,0.3168222904205322,0.03555694594979286
,0.00025,377,,,,,,,,,
29,,389,,,,,,,0.20667073130607605,0.31460028886795044,0.03535444661974907
30,,390,0.18426278233528137,0.3060886263847351,0.028355907648801804,,,,,,
