epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,13,,,,,,,0.18275076150894165,0.3347027599811554,0.0319470539689064
,0.001,14,,,,,,,,,
1,,27,,,,,,,0.17177611589431763,0.3241245448589325,0.029468083754181862
,0.001,28,,,,,,,,,
2,,41,,,,,,,0.1525544673204422,0.29757899045944214,0.024688977748155594
,0.001,42,,,,,,,,,
3,,49,,,,0.11358742415904999,0.22520698606967926,0.013434963300824165,,,
3,,55,,,,,,,0.143561452627182,0.28007227182388306,0.0222679041326046
,0.001,56,,,,,,,,,
4,,69,,,,,,,0.13898113369941711,0.26951977610588074,0.021084794774651527
,0.001,70,,,,,,,,,
5,,83,,,,,,,0.15728892385959625,0.2890739142894745,0.025425409898161888
,0.001,84,,,,,,,,,
6,,97,,,,,,,0.14509521424770355,0.27272337675094604,0.022244106978178024
,0.001,98,,,,,,,,,
7,,99,,,,0.1178281158208847,0.22574160993099213,0.013895205222070217,,,
7,,111,,,,,,,0.1397867053747177,0.26793351769447327,0.021255282685160637
,0.001,112,,,,,,,,,
8,,125,,,,,,,0.16142448782920837,0.2937110960483551,0.026893852278590202
,0.001,126,,,,,,,,,
9,,139,,,,,,,0.1364816576242447,0.26703816652297974,0.02098971977829933
,0.001,140,,,,,,,,,
10,,149,,,,0.1365654617547989,0.2834181785583496,0.019231513142585754,,,
10,,153,,,,,,,0.1353069394826889,0.2651270627975464,0.020857611671090126
,0.001,154,,,,,,,,,
11,,167,,,,,,,0.1474931687116623,0.2793603241443634,0.023283308371901512
,0.001,168,,,,,,,,,
12,,181,,,,,,,0.1898796260356903,0.34602078795433044,0.03660741075873375
,0.001,182,,,,,,,,,
13,,195,,,,,,,0.23060044646263123,0.396929532289505,0.04971563071012497
,0.001,196,,,,,,,,,
14,,199,,,,0.10026325285434723,0.21135924756526947,0.01110898982733488,,,
14,,209,,,,,,,0.15048223733901978,0.28672245144844055,0.024959363043308258
,0.001,210,,,,,,,,,
15,,223,,,,,,,0.4124578535556793,0.6975930333137512,0.13826224207878113
,0.001,224,,,,,,,,,
16,,237,,,,,,,0.2600628137588501,0.4635433852672577,0.06336753815412521
,0.0005,238,,,,,,,,,
17,,249,,,,0.08789372444152832,0.17872753739356995,0.008324448950588703,,,
17,,251,,,,,,,0.33407163619995117,0.5921133160591125,0.09905125945806503
,0.0005,252,,,,,,,,,
18,,265,,,,,,,0.14455953240394592,0.28245216608047485,0.025460803881287575
,0.0005,266,,,,,,,,,
19,,279,,,,,,,0.1441328227519989,0.2812427580356598,0.025432243943214417
,0.0005,280,,,,,,,,,
20,,293,,,,,,,0.24203166365623474,0.4465644061565399,0.05951768904924393
21,,294,0.23058967292308807,0.4263923764228821,0.051238760352134705,,,,,,
