epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.7298421263694763,0.7885968089103699,0.2813066244125366
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.6839219927787781,0.7461245059967041,0.2482115775346756
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.6371346116065979,0.7020998001098633,0.21674133837223053
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.5872313976287842,0.653957188129425,0.18558913469314575
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.5320271253585815,0.5995983481407166,0.1539531946182251
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.4700494706630707,0.5379245281219482,0.12193954735994339
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.40005967020988464,0.468035489320755,0.09024589508771896
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.32318878173828125,0.39002108573913574,0.060918550938367844
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.2514500021934509,0.3121260106563568,0.03895959630608559
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.2187817543745041,0.2654930353164673,0.03156610578298569
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.24875803291797638,0.2836805284023285,0.04148458316922188
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.27915072441101074,0.31639575958251953,0.050380151718854904
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.25811177492141724,0.3033176362514496,0.044291023164987564
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.2272651642560959,0.27705976366996765,0.03600183129310608
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.21544404327869415,0.2645636200904846,0.032809991389513016
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.21595174074172974,0.26294639706611633,0.03267054259777069
,0.0005,48,,,,,,,,,
16,,49,,,,0.20465043187141418,0.2580745220184326,0.027300750836730003,,,
16,,50,,,,,,,0.21656112372875214,0.2635643780231476,0.032715048640966415
,0.0005,51,,,,,,,,,
17,,53,,,,,,,0.21607159078121185,0.26351264119148254,0.03260127082467079
,0.0005,54,,,,,,,,,
18,,56,,,,,,,0.21502314507961273,0.2630347013473511,0.032413139939308167
,0.0005,57,,,,,,,,,
19,,59,,,,,,,0.21444006264209747,0.2629435360431671,0.03238184005022049
20,,60,0.247307687997818,0.3192696273326874,0.04031708091497421,,,,,,
