epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.7598237991333008,0.8195236921310425,0.3053230345249176
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.7125163674354553,0.7749120593070984,0.26980194449424744
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.6642665863037109,0.7289685606956482,0.23602186143398285
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.6125156283378601,0.6785028576850891,0.20245355367660522
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.5551131963729858,0.6213878393173218,0.1683761328458786
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.48954156041145325,0.5549494624137878,0.13345544040203094
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.41332489252090454,0.476619154214859,0.09811249375343323
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.3266233503818512,0.3864549994468689,0.06436261534690857
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.23751653730869293,0.2890540063381195,0.0361190102994442
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.17040039598941803,0.20496053993701935,0.019164133816957474
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.1481848508119583,0.16970402002334595,0.014465758576989174
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.1437348574399948,0.165161594748497,0.013483249582350254
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.14080901443958282,0.1722443848848343,0.012819090858101845
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.1520785540342331,0.19207696616649628,0.014924599789083004
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.17116647958755493,0.21369096636772156,0.01906367391347885
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.1872832328081131,0.2326267510652542,0.0228920616209507
,0.001,48,,,,,,,,,
16,,49,,,,0.2719919979572296,0.347245454788208,0.0470370352268219,,,
16,,50,,,,,,,0.19413641095161438,0.24204421043395996,0.02462557889521122
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.1920689195394516,0.24091395735740662,0.0241969246417284
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.1832495778799057,0.23187364637851715,0.022172315046191216
,0.0005,57,,,,,,,,,
19,,59,,,,,,,0.1775573343038559,0.22543707489967346,0.020870286971330643
,0.0005,60,,,,,,,,,
20,,62,,,,,,,0.1718766689300537,0.21886202692985535,0.01958673819899559
,0.0005,63,,,,,,,,,
21,,65,,,,,,,0.16691796481609344,0.21311765909194946,0.018479539081454277
,0.0005,66,,,,,,,,,
22,,68,,,,,,,0.16306328773498535,0.20865024626255035,0.017626430839300156
23,,69,0.17451079189777374,0.22991548478603363,0.019534477964043617,,,,,,
