epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.6583229303359985,0.6627421975135803,0.2368277758359909
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.6138849258422852,0.62189781665802,0.2082032710313797
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.5688686966896057,0.581038773059845,0.1811254769563675
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.521327018737793,0.5385738611221313,0.15449495613574982
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.4702936112880707,0.49198082089424133,0.12788039445877075
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.41326314210891724,0.44041141867637634,0.10140904039144516
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.35046523809432983,0.3854342997074127,0.07614130526781082
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.29076504707336426,0.33815664052963257,0.054501183331012726
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.2542456388473511,0.3131506145000458,0.04137684777379036
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.2649161219596863,0.32734012603759766,0.04364762455224991
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.31602343916893005,0.38425716757774353,0.06108837202191353
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.3459683358669281,0.42723727226257324,0.07171217352151871
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.32023826241493225,0.41248205304145813,0.06319545209407806
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.27479004859924316,0.37343618273735046,0.04935256764292717
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.2417096644639969,0.3394191563129425,0.0397784523665905
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.227235808968544,0.32159295678138733,0.03553001582622528
,0.001,48,,,,,,,,,
16,,49,,,,0.22739100456237793,0.2881968021392822,0.0313996821641922,,,
16,,50,,,,,,,0.2222203016281128,0.31555530428886414,0.03404579311609268
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.22119781374931335,0.31546249985694885,0.03376978263258934
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.22333058714866638,0.31936317682266235,0.034436143934726715
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.230107381939888,0.32760414481163025,0.03639300912618637
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.24074789881706238,0.33814170956611633,0.03917983919382095
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.24980247020721436,0.3457709848880768,0.041499875485897064
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.25320395827293396,0.3473756015300751,0.042288560420274734
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.251691997051239,0.3447183072566986,0.04178166761994362
,0.0005,72,,,,,,,,,
24,,74,,,,,,,0.2490246295928955,0.34167787432670593,0.04101702198386192
,0.0005,75,,,,,,,,,
25,,77,,,,,,,0.24559767544269562,0.3380318284034729,0.04007112234830856
,0.0005,78,,,,,,,,,
26,,80,,,,,,,0.2426062375307083,0.3350881040096283,0.0392799973487854
,0.0005,81,,,,,,,,,
27,,83,,,,,,,0.2402430921792984,0.33294185996055603,0.03866507485508919
28,,84,0.17075051367282867,0.21320535242557526,0.018640760332345963,,,,,,
