epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.8551637530326843,1.0372612476348877,0.39176255464553833
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.8024193048477173,0.9750848412513733,0.3465074300765991
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.7492946982383728,0.9123321771621704,0.30384692549705505
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.6933944821357727,0.8464587926864624,0.26213163137435913
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.6325525045394897,0.7758756875991821,0.2204861342906952
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.5639424920082092,0.6979767084121704,0.17815862596035004
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.4848212003707886,0.6100230813026428,0.13525165617465973
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.39398103952407837,0.5100180506706238,0.09330225735902786
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.29728826880455017,0.39864394068717957,0.05603930726647377
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.21061266958713531,0.2829842269420624,0.029187709093093872
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.16107846796512604,0.190471813082695,0.0173286534845829
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.1478453427553177,0.15781846642494202,0.014713303185999393
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.14866875112056732,0.16984955966472626,0.01409856602549553
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.16158567368984222,0.18938760459423065,0.016507761552929878
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.1827026903629303,0.20721763372421265,0.021328141912817955
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.19849200546741486,0.21944621205329895,0.02526927925646305
,0.001,48,,,,,,,,,
16,,49,,,,0.2489299774169922,0.28451302647590637,0.037750642746686935,,,
16,,50,,,,,,,0.20424801111221313,0.2239503562450409,0.026836829259991646
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.19990065693855286,0.21959438920021057,0.02596164681017399
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.18881505727767944,0.20814011991024017,0.02344968542456627
,0.0005,57,,,,,,,,,
19,,59,,,,,,,0.18296124041080475,0.20249205827713013,0.02207213267683983
,0.0005,60,,,,,,,,,
20,,62,,,,,,,0.1769566684961319,0.1969919502735138,0.020614488050341606
,0.0005,63,,,,,,,,,
21,,65,,,,,,,0.17267931997776031,0.19363661110401154,0.019559131935238838
,0.0005,66,,,,,,,,,
22,,68,,,,,,,0.16893447935581207,0.1906958669424057,0.01863711327314377
23,,69,0.18957579135894775,0.20089399814605713,0.022513683885335922,,,,,,
