epoch,lr-Adam,step,test/ADE,test/AngErr_deg,test/FDE,test/Hit@0.02,test/loss,train/ADE,train/AngErr_deg,train/FDE,train/Hit@0.02,train/loss,val/ADE,val/AngErr_deg,val/FDE,val/Hit@0.02,val/loss
,0.001,0,,,,,,,,,,,,,,,
0,,12,,,,,,,,,,,0.62076735496521,117.91301727294922,0.46075883507728577,0.0,0.30957719683647156
0,,12,,,,,,0.6879739761352539,109.01959991455078,0.5219122171401978,0.0,0.39662978053092957,,,,,
,0.001,13,,,,,,,,,,,,,,,
1,,25,,,,,,,,,,,0.392446905374527,38.65054702758789,0.4211671054363251,0.0,0.14778169989585876
1,,25,,,,,,0.2942471206188202,94.24534606933594,0.3720475435256958,0.007281553465873003,0.09376294165849686,,,,,
,0.001,26,,,,,,,,,,,,,,,
2,,38,,,,,,,,,,,0.3208475112915039,28.31032371520996,0.3949981927871704,0.0,0.1114577054977417
2,,38,,,,,,0.22465156018733978,34.07954788208008,0.35382646322250366,0.0024271844886243343,0.06647323071956635,,,,,
,0.001,39,,,,,,,,,,,,,,,
3,,51,,,,,,,,,,,0.3177066445350647,29.527301788330078,0.3815634548664093,0.0,0.10601522773504257
3,,51,,,,,,0.21290703117847443,34.498268127441406,0.3448020815849304,0.0024271844886243343,0.0602925606071949,,,,,
,0.001,52,,,,,,,,,,,,,,,
4,,64,,,,,,,,,,,0.2975655794143677,28.728471755981445,0.37678977847099304,0.0,0.09591707587242126
4,,64,,,,,,0.20671609044075012,33.92499542236328,0.3441951274871826,0.0024271844886243343,0.058983493596315384,,,,,
,0.001,65,,,,,,,,,,,,,,,
5,,77,,,,,,,,,,,0.28143683075904846,28.59580421447754,0.37148788571357727,0.0,0.09048487991094589
5,,77,,,,,,0.20382970571517944,33.94523620605469,0.34293031692504883,0.004854368977248669,0.05815897509455681,,,,,
,0.001,78,,,,,,,,,,,,,,,
6,,90,,,,,,,,,,,0.25859007239341736,28.34088134765625,0.3629193902015686,0.0,0.08092739433050156
6,,90,,,,,,0.20562392473220825,33.99394226074219,0.3445419371128082,0.0024271844886243343,0.058752745389938354,,,,,
,0.001,91,,,,,,,,,,,,,,,
7,,103,,,,,,,,,,,0.27025607228279114,29.466562271118164,0.3711470663547516,0.008130080997943878,0.08614107966423035
