epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.7804495692253113,0.8349154591560364,0.32076457142829895
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.7347145676612854,0.791867196559906,0.28528061509132385
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.6882763504981995,0.7481504082679749,0.25151658058166504
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.6388698816299438,0.7010778784751892,0.21799856424331665
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.5844753384590149,0.6482706069946289,0.18391092121601105
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.5234315991401672,0.5882982611656189,0.14912493526935577
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.452762633562088,0.5177247524261475,0.11335114389657974
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.3761186897754669,0.44150295853614807,0.07991523295640945
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.30215224623680115,0.367147833108902,0.05308544635772705
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.24207590520381927,0.3002801835536957,0.03612566366791725
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.21830955147743225,0.26591232419013977,0.030835863202810287
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.21551667153835297,0.2537264823913574,0.030070196837186813
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.21194757521152496,0.2503078579902649,0.028923260048031807
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.2065376192331314,0.2582797706127167,0.027589403092861176
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.2074182629585266,0.2681277096271515,0.027441782876849174
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.21019247174263,0.27176788449287415,0.027627792209386826
,0.001,48,,,,,,,,,
16,,49,,,,0.2090069055557251,0.2919389009475708,0.029548943042755127,,,
16,,50,,,,,,,0.2110939621925354,0.2694416046142578,0.027411969378590584
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.20865590870380402,0.2617134153842926,0.026520874351263046
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.20490774512290955,0.25341758131980896,0.02553524263203144
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.201856791973114,0.2475026547908783,0.02479206770658493
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.19994640350341797,0.24421276152133942,0.024311479181051254
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.19719862937927246,0.2418522834777832,0.023929079994559288
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.19362317025661469,0.23885415494441986,0.023570114746689796
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.19016601145267487,0.23618263006210327,0.023441076278686523
,0.001,72,,,,,,,,,
24,,74,,,,,,,0.18998146057128906,0.23724378645420074,0.023735327646136284
,0.001,75,,,,,,,,,
25,,77,,,,,,,0.19342641532421112,0.24187062680721283,0.024203384295105934
,0.001,78,,,,,,,,,
26,,80,,,,,,,0.1985875517129898,0.24881504476070404,0.025079773738980293
,0.001,81,,,,,,,,,
27,,83,,,,,,,0.20302776992321014,0.2556227147579193,0.02598027139902115
,0.001,84,,,,,,,,,
28,,86,,,,,,,0.2036416232585907,0.25842660665512085,0.026208223775029182
,0.001,87,,,,,,,,,
29,,89,,,,,,,0.20104055106639862,0.25860461592674255,0.026096375659108162
,0.0005,90,,,,,,,,,
30,,92,,,,,,,0.1996261477470398,0.25745388865470886,0.0258879866451025
,0.0005,93,,,,,,,,,
31,,95,,,,,,,0.1991180032491684,0.256742924451828,0.025717802345752716
,0.0005,96,,,,,,,,,
32,,98,,,,,,,0.20160914957523346,0.2595902383327484,0.02603834681212902
,0.0005,99,,,,,,,,,
33,,99,,,,0.18519648909568787,0.2548697888851166,0.021629182621836662,,,
33,,101,,,,,,,0.20550931990146637,0.2632349133491516,0.026533225551247597
34,,102,0.14925940334796906,0.21348629891872406,0.013725446537137032,,,,,,
