epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.6975876688957214,0.9579187035560608,0.27404913306236267
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.6576683521270752,0.916057825088501,0.24609459936618805
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.6167565584182739,0.8720035552978516,0.219252809882164
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.5732006430625916,0.8244626522064209,0.19265899062156677
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.5251851677894592,0.7715684175491333,0.16566841304302216
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.47148048877716064,0.7118971347808838,0.13828898966312408
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.41333428025245667,0.6440973877906799,0.11119309812784195
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.3586929440498352,0.5688242316246033,0.0865272581577301
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.32235997915267944,0.4918602705001831,0.0682411640882492
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.3149021565914154,0.42737483978271484,0.06018950045108795
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.31547898054122925,0.3872271776199341,0.05875451862812042
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.29438456892967224,0.3558077812194824,0.05178312584757805
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.253214567899704,0.3191477954387665,0.03983471915125847
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.21332098543643951,0.28269222378730774,0.02979104407131672
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.1906966269016266,0.2548612356185913,0.024416884407401085
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.18215768039226532,0.2419452667236328,0.022320540621876717
,0.001,48,,,,,,,,,
16,,49,,,,0.21873250603675842,0.2716333866119385,0.03165355324745178,,,
16,,50,,,,,,,0.17857368290424347,0.23926252126693726,0.02139120176434517
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.17884555459022522,0.24286913871765137,0.021363159641623497
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.1839430034160614,0.25017955899238586,0.022457865998148918
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.19240517914295197,0.25813424587249756,0.024352215230464935
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.20337159931659698,0.2666276693344116,0.026685677468776703
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.20978493988513947,0.27166876196861267,0.028088318184018135
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.20920228958129883,0.2719634473323822,0.027911802753806114
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.20441153645515442,0.26963821053504944,0.026829179376363754
,0.0005,72,,,,,,,,,
24,,74,,,,,,,0.20147480070590973,0.26820293068885803,0.02618219703435898
,0.0005,75,,,,,,,,,
25,,77,,,,,,,0.1988251954317093,0.2670224905014038,0.02560025453567505
,0.0005,78,,,,,,,,,
26,,80,,,,,,,0.19732874631881714,0.2666502594947815,0.025286873802542686
,0.0005,81,,,,,,,,,
27,,83,,,,,,,0.19584067165851593,0.2655686140060425,0.024982132017612457
28,,84,0.21778853237628937,0.29710501432418823,0.03370148316025734,,,,,,
28,,84,0.21778853237628937,0.29710501432418823,0.03370148316025734,,,,,,
28,,84,0.21778853237628937,0.29710501432418823,0.03370148316025734,,,,,,
